Trial,Epochs
1,46
2,46
3,56
4,38
5,26
6,41
7,32
8,41
9,27
10,28
11,27
12,33
13,41
14,64
15,38
16,26
17,51
18,24
19,28
20,41
21,39
22,36
23,23
24,37
25,42
26,31
27,37
28,31
29,57
30,35
31,28
32,25
33,36
34,40
35,45
36,31
37,42
38,29
39,22
40,29
41,30
42,24
43,42
44,29
45,60
46,43
47,26
48,29
49,30
50,28
51,25
52,30
53,27
54,29
55,31
56,59
57,27
58,35
59,26
60,41
61,45
62,35
63,44
64,31
65,58
66,26
67,24
68,52
69,31
70,43
71,58
72,35
73,31
74,38
75,32
76,48
77,34
78,50
79,53
80,51
81,26
82,46
83,37
84,40
85,25
86,45
87,31
88,89
89,30
90,28
91,33
92,40
93,38
94,58
95,30
96,32
97,49
98,27
99,24
100,27
101,34
102,35
103,70
104,32
105,48
106,23
107,22
108,23
109,23
110,35
111,23
112,34
113,29
114,37
115,42
116,22
117,38
118,22
119,26
120,38
121,31
122,28
123,72
124,41
125,33
126,24
127,45
128,35
129,48
130,25
131,34
132,53
133,33
134,45
135,49
136,25
137,40
138,38
139,33
140,31
141,56
142,30
143,23
144,36
145,48
146,61
147,33
148,47
149,31
150,32
151,26
152,58
153,34
154,32
155,35
156,28
157,43
158,36
159,43
160,43
161,40
162,41
163,28
164,48
165,35
166,41
167,40
168,49
169,50
170,48
171,33
172,23
173,24
174,49
175,37
176,25
177,33
178,34
179,35
180,20
181,42
182,30
183,34
184,26
185,24
186,36
187,24
188,35
189,27
190,39
191,24
192,39
193,50
194,26
195,27
196,27
197,40
198,32
199,40
200,41
201,32
202,40
203,39
204,47
205,26
206,23
207,55
208,23
209,38
210,36
211,45
212,52
213,34
214,28
215,53
216,49
217,38
218,38
219,23
220,31
221,34
222,33
223,22
224,27
225,57
226,37
227,29
228,41
229,25
230,32
231,24
232,30
233,52
234,24
235,39
236,26
237,58
238,55
239,28
240,32
241,41
242,34
243,39
244,25
245,26
246,27
247,26
248,36
249,34
250,44
251,39
252,42
253,36
254,41
255,59
256,59
257,24
258,29
259,37
260,33
261,38
262,30
263,26
264,37
265,37
266,35
267,26
268,38
269,21
270,61
271,36
272,34
273,60
274,39
275,28
276,29
277,29
278,31
279,23
280,29
281,28
282,38
283,43
284,27
285,75
286,35
287,27
288,58
289,24
290,36
291,43
292,24
293,35
294,34
295,43
296,21
297,33
298,34
299,36
300,34
301,30
302,26
303,34
304,43
305,48
306,51
307,32
308,38
309,23
310,26
311,32
312,46
313,30
314,38
315,67
316,28
317,30
318,47
319,37
320,31
321,35
322,36
323,38
324,31
325,54
326,30
327,21
328,26
329,34
330,60
331,51
332,29
333,48
334,37
335,28
336,21
337,65
338,41
339,25
340,31
341,49
342,28
343,35
344,30
345,27
346,41
347,53
348,47
349,31
350,38
351,39
352,35
353,30
354,46
355,38
356,26
357,53
358,32
359,45
360,27
361,48
362,27
363,42
364,24
365,32
366,53
367,35
368,40
369,25
370,21
371,35
372,72
373,55
374,36
375,57
376,31
377,46
378,36
379,39
380,28
381,39
382,59
383,35
384,31
385,39
386,40
387,32
388,39
389,27
390,37
391,37
392,33
393,41
394,31
395,36
396,80
397,55
398,33
399,28
400,24
401,19
402,38
403,29
404,47
405,33
406,28
407,44
408,32
409,27
410,33
411,29
412,30
413,25
414,31
415,43
416,27
417,29
418,26
419,39
420,28
421,31
422,37
423,47
424,26
425,36
426,31
427,45
428,31
429,35
430,32
431,24
432,28
433,27
434,22
435,23
436,45
437,43
438,39
439,25
440,25
441,38
442,50
443,42
444,33
445,31
446,36
447,64
448,38
449,34
450,36
451,34
452,32
453,50
454,41
455,34
456,49
457,21
458,35
459,32
460,31
461,34
462,32
463,39
464,26
465,33
466,24
467,33
468,30
469,48
470,39
471,25
472,38
473,33
474,49
475,41
476,41
477,22
478,45
479,39
480,25
481,27
482,22
483,32
484,32
485,50
486,43
487,62
488,39
489,48
490,34
491,42
492,44
493,25
494,24
495,32
496,26
497,50
498,30
499,27
500,26
501,43
502,34
503,37
504,38
505,44
506,43
507,31
508,34
509,28
510,31
511,42
512,32
513,27
514,33
515,25
516,55
517,36
518,44
519,33
520,31
521,33
522,31
523,46
524,29
525,52
526,27
527,53
528,54
529,26
530,53
531,50
532,41
533,41
534,27
535,29
536,22
537,23
538,29
539,58
540,30
541,39
542,38
543,61
544,24
545,32
546,41
547,37
548,51
549,32
550,30
551,34
552,24
553,37
554,30
555,26
556,46
557,33
558,26
559,44
560,36
561,44
562,25
563,40
564,51
565,27
566,27
567,35
568,24
569,46
570,25
571,43
572,61
573,41
574,28
575,34
576,37
577,66
578,52
579,42
580,53
581,47
582,27
583,36
584,42
585,50
586,41
587,43
588,31
589,46
590,50
591,37
592,29
593,36
594,35
595,29
596,36
597,49
598,33
599,33
600,38
601,38
602,28
603,32
604,56
605,27
606,43
607,41
608,47
609,33
610,54
611,31
612,26
613,28
614,36
615,26
616,33
617,31
618,23
619,50
620,63
621,36
622,25
623,22
624,41
625,35
626,29
627,38
628,32
629,32
630,28
631,57
632,62
633,37
634,55
635,47
636,56
637,45
638,28
639,37
640,34
641,49
642,44
643,39
644,35
645,33
646,32
647,30
648,28
649,33
650,47
651,39
652,26
653,48
654,44
655,24
656,31
657,26
658,53
659,22
660,27
661,34
662,39
663,52
664,40
665,60
666,33
667,38
668,37
669,44
670,28
671,34
672,27
673,28
674,37
675,45
676,44
677,34
678,33
679,34
680,50
681,26
682,43
683,74
684,35
685,28
686,31
687,32
688,33
689,27
690,30
691,44
692,33
693,25
694,67
695,85
696,30
697,46
698,30
699,40
700,32
701,43
702,36
703,26
704,34
705,30
706,33
707,50
708,43
709,30
710,28
711,40
712,24
713,40
714,26
715,31
716,48
717,47
718,29
719,44
720,44
721,32
722,26
723,24
724,29
725,42
726,33
727,30
728,30
729,66
730,36
731,30
732,33
733,21
734,41
735,26
736,63
737,28
738,46
739,26
740,43
741,23
742,24
743,54
744,29
745,29
746,50
747,34
748,41
749,28
750,40
751,32
752,49
753,67
754,24
755,28
756,37
757,39
758,86
759,44
760,22
761,33
762,43
763,38
764,58
765,41
766,58
767,27
768,25
769,61
770,51
771,29
772,36
773,29
774,36
775,40
776,43
777,30
778,67
779,35
780,25
781,38
782,21
783,27
784,38
785,21
786,27
787,35
788,26
789,25
790,43
791,45
792,56
793,37
794,31
795,30
796,35
797,26
798,38
799,33
800,31
801,40
802,65
803,26
804,47
805,32
806,48
807,48
808,54
809,40
810,53
811,29
812,32
813,37
814,31
815,27
816,34
817,29
818,35
819,37
820,26
821,55
822,33
823,28
824,28
825,66
826,24
827,26
828,24
829,31
830,69
831,27
832,31
833,48
834,35
835,26
836,43
837,59
838,29
839,23
840,47
841,34
842,33
843,22
844,29
845,30
846,29
847,35
848,45
849,40
850,35
851,30
852,30
853,27
854,25
855,57
856,41
857,31
858,29
859,48
860,31
861,37
862,41
863,32
864,32
865,45
866,43
867,36
868,33
869,26
870,41
871,59
872,37
873,27
874,47
875,35
876,48
877,24
878,46
879,38
880,34
881,46
882,50
883,26
884,30
885,47
886,49
887,42
888,39
889,39
890,48
891,33
892,28
893,36
894,40
895,22
896,54
897,38
898,45
899,48
900,26
901,72
902,30
903,18
904,42
905,29
906,49
907,41
908,57
909,35
910,41
911,29
912,90
913,20
914,51
915,35
916,32
917,31
918,46
919,22
920,31
921,33
922,32
923,28
924,54
925,33
926,23
927,52
928,49
929,43
930,27
931,27
932,36
933,43
934,40
935,54
936,30
937,23
938,35
939,30
940,58
941,59
942,29
943,27
944,41
945,37
946,52
947,29
948,53
949,34
950,52
951,46
952,29
953,28
954,41
955,36
956,34
957,33
958,27
959,54
960,38
961,42
962,45
963,67
964,30
965,28
966,35
967,30
968,22
969,32
970,24
971,45
972,33
973,35
974,31
975,41
976,32
977,49
978,28
979,41
980,40
981,50
982,44
983,34
984,63
985,45
986,51
987,40
988,29
989,56
990,39
991,28
992,37
993,39
994,45
995,23
996,61
997,31
998,42
999,31
1000,35
1001,28
1002,33
1003,37
1004,26
1005,27
1006,26
1007,67
1008,31
1009,31
1010,33
1011,32
1012,32
1013,32
1014,22
1015,37
1016,35
1017,34
1018,45
1019,31
1020,36
1021,29
1022,25
1023,41
1024,38
1025,31
1026,50
1027,22
1028,48
1029,30
1030,29
1031,26
1032,44
1033,24
1034,41
1035,36
1036,39
1037,36
1038,27
1039,65
1040,41
1041,45
1042,24
1043,35
1044,28
1045,25
1046,31
1047,50
1048,38
1049,39
1050,23
1051,48
1052,33
1053,38
1054,35
1055,29
1056,50
1057,38
1058,61
1059,51
1060,24
1061,43
1062,33
1063,24
1064,60
1065,39
1066,38
1067,35
1068,30
1069,70
1070,45
1071,48
1072,32
1073,41
1074,30
1075,30
1076,32
1077,40
1078,61
1079,35
1080,36
1081,47
1082,38
1083,35
1084,47
1085,34
1086,28
1087,76
1088,34
1089,27
1090,35
1091,51
1092,34
1093,44
1094,30
1095,32
1096,29
1097,28
1098,47
1099,34
1100,90
1101,29
1102,38
1103,34
1104,50
1105,39
1106,40
1107,26
1108,26
1109,37
1110,31
1111,28
1112,21
1113,38
1114,24
1115,33
1116,46
1117,29
1118,35
1119,34
1120,47
1121,27
1122,43
1123,48
1124,28
1125,48
1126,45
1127,24
1128,43
1129,27
1130,47
1131,51
1132,45
1133,40
1134,36
1135,38
1136,28
1137,39
1138,48
1139,41
1140,24
1141,30
1142,27
1143,45
1144,49
1145,42
1146,32
1147,42
1148,44
1149,50
1150,31
1151,40
1152,31
1153,26
1154,60
1155,36
1156,33
1157,39
1158,81
1159,55
1160,40
1161,27
1162,34
1163,28
1164,30
1165,56
1166,49
1167,49
1168,38
1169,31
1170,31
1171,32
1172,35
1173,33
1174,32
1175,35
1176,47
1177,37
1178,32
1179,28
1180,38
1181,31
1182,31
1183,43
1184,25
1185,25
1186,28
1187,26
1188,48
1189,43
1190,33
1191,30
1192,35
1193,30
1194,54
1195,27
1196,32
1197,43
1198,32
1199,28
1200,29
1201,22
1202,31
1203,36
1204,19
1205,27
1206,31
1207,41
1208,27
1209,30
1210,52
1211,32
1212,25
1213,29
1214,22
1215,63
1216,33
1217,40
1218,30
1219,33
1220,78
1221,32
1222,27
1223,23
1224,30
1225,26
1226,30
1227,61
1228,54
1229,38
1230,36
1231,30
1232,33
1233,32
1234,49
1235,53
1236,52
1237,37
1238,35
1239,35
1240,23
1241,57
1242,53
1243,46
1244,50
1245,39
1246,35
1247,32
1248,28
1249,34
1250,28
1251,30
1252,36
1253,32
1254,55
1255,26
1256,33
1257,39
1258,32
1259,23
