Trial,Epochs
1,32
2,60
3,26
4,37
5,51
6,40
7,24
8,42
9,26
10,40
11,31
12,54
13,34
14,27
15,54
16,43
17,29
18,45
19,41
20,61
21,31
22,23
23,49
24,27
25,21
26,32
27,42
28,34
29,41
30,25
31,55
32,45
33,27
34,36
35,28
36,46
37,21
38,25
39,27
40,32
41,28
42,33
43,33
44,35
45,31
46,33
47,38
48,46
49,39
50,34
51,30
52,48
53,29
54,31
55,23
56,24
57,43
58,44
59,31
60,42
61,36
62,30
63,49
64,37
65,23
66,36
67,32
68,59
69,33
70,38
71,31
72,28
73,26
74,51
75,21
76,33
77,58
78,57
79,33
80,38
81,34
82,47
83,26
84,40
85,20
86,42
87,31
88,40
89,49
90,31
91,39
92,34
93,32
94,32
95,24
96,60
97,26
98,34
99,32
100,59
